Speaker,Spanish (ES)
Ushiromiya Battler,"""¡¡Gyaaaaaaaaaaaaaahhhhh!! ¡¡Caer, caer, me voy a caeee{-}e{-}e{-}e{-}e{-}e{-}e{-}eeeeerrrr!!"""
,"Una vez más, el barco del capitán Kawabata atravesaba el mar de forma impecable rumbo a Rokkenjima."
,En efecto. El relato del 4 de Octubre de 1986 siempre comienza con los alaridos de Battler.
,"Pero esta vez, algo era diferente.{n}Otra persona se encontraba conmocionada a la par de él."
,Battler estaba gritando.{n}La otra persona estaba… ¿riendo?
Ushiromiya Battler,"""¡¡Caer, caer, me voy a caeeeeeeerrrr!! ¡¡Nooo{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}ooo...!!"""
Ushiromiya Ange,"""¡¡Divertido, divertido, qué divertidooooooo!! ¡¡*risita*, *risita*risita*!!"""
Ushiromiya Maria,"""¡¡Battler luce raro, Battler luce raro!! ¡¡*risita*, *risita*risita*!!"""
,"Junto al hermano mayor, que estaba aferrado a la barandilla y gritando como nadie a su edad debería, estaba la hermana menor, también agarrándose a ella y saltando alegremente como si de una atracción se tratase. George y los demás no pudieron contener la risa tras ver semejante contraste."
Ushiromiya George,"""Incluso tras seis años, Battler-kun sigue siendo tan enérgico como lo recuerdo."""
Ushiromiya Jessica,"""Ange y María también se ven bastante más alegres de lo normal."""
Ushiromiya George,"""¿Podría ser esta la primera vez que estamos los cinco primos reunidos?"""
Ushiromiya Jessica,"""Oh, ¿lo es? En ese caso, ¡síp! Este año promete ser más divertido que ningún otro."""
Ushiromiya Battler,"""¡¡G‐George‐anikiiiiiiiii!! ¡¿No crees que esto va demasiado rápido?! ¡¡Te lo imploro, pídele al capitán que baje la velocidad antes de que sea demasiado tardeeeee!!"""
Ushiromiya Maria,"""¡Kijija{0}ja{0}ja{0}ja{0}ja{0}ja{0}jaja! ¿Llamas a esto rápido? ¡Battler es una gallina! ¡Gallina!"""
Ushiromiya Ange,"""¡¡Quiero ir más rápido!! ¡Más rápido, más rápido! ¡¡*risita*risita*!!"""
Ushiromiya Battler,"""¡¡De ir más rápido tu onii-chan se va a caer del barco!! ¡¿Es eso lo que quieres?! ¡¡Me voy a cae{-}e{-}e{-}e{-}e{-}e{-}e{-}e{-}eeerrrr!!"""
Ushiromiya George,"""Jajaja. Bueno, la votación ha concluido, y la propuesta de desacelerar de Battler-kun fue—"""
Ushiromiya Jessica,"""¡Rechazada, al parecer! Aja{0}ja{0}ja{0}ja{0}ja{0}jaja."""
Ushiromiya Ange,"""Cuidado, onii-chan. ¡Te vas a caer, te vas a caer! ¡¡Aja{0}ja{0}ja{0}ja{0}ja{0}ja{0}jaja!!"""
Ushiromiya Maria,"""¡A Battler le corresponde un castigo por su cobardía! ¡Hora de las cosquillas! ¡¡Kijijijijiii!!"""
Ushiromiya Battler,"""¡¡E-Espera, para, María!! ¡Tú también, Ange! ¡¡N‐Nooo{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}o{-}ooo!!"""
Ushiromiya Kyrie,"""Gracias al cielo. La salud de Ange me tenía preocupada, pero todo parece estar bien."""
Ushiromiya Rudolf,"""Habría sido muy triste dejarla sola en casa. Me alegra que hayamos decidido traerla de todos modos."""
Ushiromiya Eva,"""¿No se encontraba muy enferma ayer?"""
Ushiromiya Kyrie,"""Se sintió mucho mejor esta mañana. A veces los niños pueden ser increíbles."""
Ushiromiya Hideyoshi,"""¡Apue’to que es de las personas que se enferman cuando ‘tan estresadas o exaltadas! No es raro en gente así el sentirse mejor cuando llega el gran día."""
Ushiromiya Rosa,"""Debe haber estado ansiosa por jugar con todos sus primos."""
Kumasawa Chiyo,"""Jo‐jo‐jo. El solo verlos jugar hace que uno se sienta rebosante de energía, ¿no les parece?"""
,Los adultos sonreían mientras observaban a los niños jugar.
,"Ange había enfermado. Por un tiempo todos se habían preparado para su ausencia, hasta que se recuperó milagrosamente."
,"Gracias, en parte, a su enorme deseo por participar, había venido a la conferencia familiar con los demás."
,Por lo tanto...
,"Por primera vez en la historia, los cinco primos se reunieron.{n}El 4 de Octubre de 1986 se convirtió en un día como ningún otro."
,Los niños corrieron todo el camino que conecta el puerto con el jardín de rosas.
,Probablemente estaban tan llenos de energía que hasta caminar se les hacía aburrido.
Ushiromiya Battler,"""¡Wajajajaja! ¡¿Vieron eso?! ¡Primer lugar~!"""
,"Battler fue el primero en cruzar la línea de meta, que era la entrada al jardín de rosas."
,"Al parecer, intentaba compensar la deshonra que había sufrido en el bote demostrando su superioridad en tierra."
,"Poco después, Ange y María lo alcanzaron estando muy a la par."
Ushiromiya Maria,"""¡¡María es la segunda!! ¡¡Soy más rápida que Ange, uu-uu-uu!!"""
Ushiromiya Ange,"""¡No, mentira! ¡¡María onee-chan hizo trampa!! ¡¡Yo soy segunda!!"""
,"La diferencia de 3 años entre Ange y María se hacía notar, especialmente tomando en cuenta que ambas eran niñas aún en desarrollo."
,"Era natural que María fuese más rápida, sin embargo, Ange parecía estarse quejando de un golpe de hombro en la línea de salida."
,"¡María onee-chan hizo trampa, así que ella tiene el último lugar! ¡La maestra siempre dice que te corresponde el último lugar si haces trampa!... Protestó Ange."
Ushiromiya Jessica,"""Vamos, no hay porqué pelear. Diablos, ¡ambas son muy rápidas!"""
Ushiromiya George,"""Ha pasado un tiempo desde la última vez que corrí así... Ah, la brisa se siente bien."""
Ushiromiya Battler,"""¿Fuera de forma, George-aniki? Sabes, quienes corren contrarreloj a diario obtienen piernas fuertes automáticamente."""
Ushiromiya George,"""En otras palabras, ser buen corredor es prueba de que te duermes más de la cuenta."""
Ushiromiya Ange,"""¡Onii-chan siempre se queda dormido! ¡Tampoco se levantó a tiempo hoy, así que tuve que despertarlo! ¡¿Verdad?!"""
Ushiromiya Battler,"""Tras un pisotón, seguido de un codazo aéreo, finalizado por una plancha corporal desde la cuerda superior, me di por acabado."""
Ushiromiya Jessica,"""Después de un despertar así, suena a que no te levantarías nunca más..."""
Ushiromiya Maria,"""¡Suena divertido! ¡María también quiere hacerlo, María también quiere!"""
Ushiromiya Ange,"""¡Apuesto a que onii-chan se queda dormido mañana! Lo despertaremos juntas esta vez, ¡¿bien?! ¡*risita*risita*!"""
Ushiromiya George,"""... Yo no recomendaría quedarnos despiertos hasta muy tarde hoy."""
,"Finalmente, los adultos podían divisarse."
,"Los primos los saludaron, y parecían estar apresurándolos.{n}Ange y María estaban tan emocionadas que apenas podían esperar."
,Simplemente teniendo a los cinco primos reunidos...{n}Con la simple adición de Ange al grupo...
,Mira cuán enérgico se ha vuelto este día.
Shannon,"""Con permiso. Los miembros de la familia han llegado."""
Ushiromiya Krauss,"""¿Entonces llegaron sanos y salvos? Debo hacérselo saber a padre."""
Ushiromiya Natsuhi,"""¿Están en la casa de huéspedes?"""
Kanon,"""Sí. Vendrán a saludar apenas hayan dejado el equipaje."""
Ushiromiya Natsuhi,"""Entendido. Kanon, por favor guíalos a todos. Shannon, prepara el té."""
,"""""Como ordene, señora."""""
Ushiromiya Krauss,"""Padre. Soy yo, Krauss. Va siendo hora de que se prepare."""
,"Después de que Krauss tocara la puerta, esta se abrió desde dentro."
Ushiromiya Krauss,"""Oh, doctor Nanjo. ¿Cómo se encuentra padre?"""
Nanjo Terumasa,"""No hay de qué preocuparse. Se está cambiando mientras hablamos. Creo que solo está un poco nervioso."""
