Speaker,Arabic (AR)
,ﺑﻌﺪ ﻣﻐﺎﺩﺭﺗﻬﻢ.... ﻟﻢ ﻳﺮﻏﺐ ﺃﺣﺪﻧﺎ ﻓﻲ ﺍﻟﺘﺤﺪﺙ.
,...ﻛﻞ ﺍﻟﻤﺸﺘﺒﻪ ﺑﻬﻢ ﺗﻢ ﻃﺮﺩﻫﻢ. ﻟﻘﺪ ﺃﺑﻌﺪﻧﺎﻫﻢ ﺭﻏﻢ ﺍﺣﺘﻤﺎﻟﻴﺔ ﻭﺟﻮﺩ ﺃﺑﺮﻳﺎﺀ ﺑﻴﻨﻬﻢ.
,"......ﻣﻦ ﺍﻟﻤﻔﺘﺮﺽ ﺃﻥ ﺗﻜﻮﻥ ﻫﺬﻩ ﺍﻟﻐﺮﻓﺔ ﻣﻜﺎﻥ ﺁﻣﻦ, ﺑﺤﻴﺚ ﻻ ﻧﺸﻚ ﻓﻲ ﺑﻌﻀﻨﺎ."
,ﻛﺎﻥ ﺩﺍﻓﻌﻨﺎ ﻣﻦ ﻃﺮﺩﻫﻢ ﻫﻮ ﺷﻜﻨﺎ ﺑﻬﻢ، ﺇﻧﻪ ﺃﺳﻮﺍﺀ ﺫﻧﺐ ﻗﺪ ﻳﻘﺘﺮﻓﻪ ﺇﻧﺴﺎﻥ ﺑﺤﻖ ﺁﺧﺮ.
,.....ﻟﻮ ﺃﻧﻨﺎ ﻗﺒﻠﻨﺎ ﺑﻮﺟﻮﺩ ﺍﻟﺴﺎﺣﺮﺓ، ﺃﻱ ﺍﻟﺸﺨﺺ ﺍﻟﺘﺎﺳﻊ ﻋﺸﺮ، ......ﻟﻜﻨﺎ ﺍﻵﻥ ﻧﺘﺤﺪﺙ ﻭﻧﺜﻖ ﻓﻲ ﺑﻌﻀﻨﺎ ﺍﻟﺒﻌﺾ.
,ﻓﻲ ﺗﻠﻚ ﺍﻟﻠﺤﻈﺔ، ﺍﺗﻔﻘﻨﺎ ﻋﻠﻰ ﻃﺮﺩ ﺟﻤﻴﻊ ﺍﻷﺷﺨﺎﺹ ﺍﻟﻤﺸﺒﻮﻫﻴﻦ.
,......ﺃﻛﺎﻥ ﻫﺬﺍ ﺍﻟﺨﻴﺎﺭ ﺍﻟﺼﺎﺋﺐ؟
,......ﺧﻼﻝ ﻫﺬﺍ ﺍﻟﺼﻤﺖ ﺍﻟﻤﻄﺒﻖ، ﻛﺎﻧﺖ ﺿﻤﺎﺋﺮﻧﺎ ﺗﻌﺬﺑﻨﺎ ﻹﻗﺘﺮﺍﻓﻨﺎ ﻫﺬﻩ ﺍﻟﺨﻄﻴﺌﺔ ﺗﺠﺎﻫﻬﻢ.
,ﻇﻠﺖ ﺍﻟﻌﻤﺔ ﻧﺎﺗﺴﻮﻫﻲ ﺗﺮﺍﻗﺐ ﺍﻟﺒﺎﺏ ﻭﻫﻲ ﺗﺠﻠﺲ ﻋﻠﻰ ﺍﻷﺭﻳﻜﺔ ﺩﻭﻥ ﺃﻥ ﺗﺨﻔﺾ ﺑﻨﺪﻗﻴﺘﻬﺎ ﺣﺘﻰ.
,......ﻣﻦ ﺍﻟﻤﺤﺘﻤﻞ ﺃﻧﻬﺎ ﺳﺘﻘﻀﻲ ﺍﻟﻠﻴﻠﺔ ﻣﺤﺪﻗﺔ ﻓﻲ ﺍﻟﺒﺎﺏ ﺩﻭﻥ ﻃﺮﻓﺔ ﻋﻴﻦ.
