Speaker,Arabic (AR)
{f:5:Beatrice},"""ﻫﺎﻫﺎﻫﺎﻫﺎ، ﻭﺍﻫﺎﻫﺎﻫﺎﻫﺎ! ﻟﻢ ﺃﺗﺼﻮﺭ ﺃﻥ ﺗُﻘﺤﻤﻲ ﻗﻄﻌﺘﻚ ﻓﻲ ﺍﻟﻠﺤﻈﺔ ﺍﻷﺧﻴﺮﺓ ﻳﺎ ﺳﻴﺪﺓ {f:7:ﺑﻴﺮﻧﻜﺎﺳﺘﻞ}...!"""
{f:5:Bernkastel},"""......ﺑﺬﻟﺖ ﻣﺎ ﺑﻮﺳﻌﻲ ﻟﻠﺒﺤﺚ ﻋﻦ ﻗﻄﻌﺔٍ ﺗﻨﺎﺳﺐ ﻟﻌﺒﺘﻚ. ......ﺃﺛﻖ ﺑﺄﻧﻬﺎ ﺳﺘﻌﺠﺒﻚ."""
{f:5:Lambdadelta},"""ﻭﻣﻦ ﺗﻜﻮﻥ ﺗﻠﻚ ﺍﻟﻘﻄﻌﺔ?! ﻣﻦ ﺗﻜﻮﻥ ﺗﻠﻚ، ﻣﻦ ﺗﻜﻮﻥ?! ﻟﻴﺲ ﻋﺪﻻً ﺃﻻ ﺗُﻌﺮﻑ ﻋﻦ ﻧﻔﺴﻬﺎ!! ﺃﻻ ﺗﻮﺍﻓﻘﻴﻨﻨﻲ?!"""
{f:5:Beatrice},"""...ﻟﻘﺪ ﺧﻤﻨﺖ ﻣﻦ ﻫﻲ ﺑﺎﻟﻔﻌﻞ. ......ﻓﻜﺮﻱ، ﻣﻌﻈﻢ ﺍﻟﻼﻋﺒﻮﻥ ﻗﺪ ﺍﻛﺘﺸﻔﻮﺍ ﻣﻦ ﻫﻲ."""
{f:5:Lambdadelta},"""ﻣﻌﻈﻤﻬﻢ?! ﻻ ﺃﻓﻬﻢ، ﺃﻟﻴﺲ ﻫﺬﺍ ﻇﻬﻮﺭﻫﺎ ﺍﻷﻭﻝ?! ﺇﻥ ﻟﻢ ﺗﻘﻞ ﺇﺳﻤﻬﺎ، ﻓﻼ ﺃﻧﺎ ﻭﻻ ﺍﻟﻼﻋﺒﻮﻥ ﺳﻨﻌﺮﻑ ﻫﻮﻳﺘﻬﺎ..."""
{f:5:Bernkastel},"""............ﺑﻴـﺎﺗﻮ، ﻻ ﺣﺎﺟﺔ ﻹﺧﺒﺎﺭﻫﺎ. ﺃﻻ ﺗﺮﻳﻦ? ﻛﻢ ﻫﻲ ﻓﺘﺎﺓ ﻣﺴﻠﻴﺔ."""
{f:5:Beatrice},"""ﻣـ-..ﻣﻢ. ......ﻋﻔﻮﻳﺔ ﻭﺑﺴﺎﻃﺔ ﺗﻔﻜﻴﺮ ﺍﻟﺴﻴﺪﺓ {f:7:ﻻﻣﺪﺍﺩﻳﻠﺘﺎ}ﺃﻣﺮٌ ﻣﺴﻠﻲ ﺣﻘًﺎ. ......*ﻗﻬﻘﻬﺔ*ﻗﻬﻘﻬﺔ*!"""
{f:5:Lambdadelta},"""ﻟﻤﺎﺫﺍ، ﻟﻤﺎﺫﺍ ﺃﻧﺎ ﺍﻟﻮﺣﻴﺪﺓ ﺍﻟﺘﻲ ﻻ ﺗﺨﺒﺮﻳﻨﻬﺎ، ﺃﻳﺘﻬﺎ ﺍﻟﺪﻧﻴﺌﺔ!! ﺳﺄﺧﺒﺮﻙِ ﻓﻲ ﺍﻟﻤﻘﺎﺑﻞ ﺳﺮﺍً ﺛﻤﻴﻨًﺎ ﻻ ﻳﻌﻠﻤﻪُ ﺳﻮﺍﻱ! ﻟﺬﺍ ﻫﻴﺎ ﺃﻧﻄﻘﻲ!"""
{f:5:Beatrice},"""......ﻫﻮﻭﻩ. ﺳﺮٌ ﺛﻤﻴﻦ! ﺃﺧﺒﺮﻳﻨﻲ، ﺃﺧﺒﺮﻳﻨﻲ...!"""
{f:5:Lambdadelta},"""ﺑﻠﻴﻴﻴﻴﻪ! ﺇﻥ ﻛﻨﺖِ ﺗﻮﺩﻳﻦ ﻣﻌﺮﻓﺘﻪ، ﻓﺄﺧﺒﺮﻳﻨﻲ ﺃﻭﻻً ﻋﻦ ﺗﻠﻚ ﺍﻟﻤﺮﺃﺓ! ﻟﻌﻠﻤﻚ ﻓﺴﺮﻱ ﺻﺎﺩﻡٌ ﻟﻠﻐﺎﻳﺔ! ﺇﻧﻪ ﺑﻤﺜﻞ ﺻﺪﻣﺘﻲ ﺣﻴﻦ ﺍﻛﺘﺸﻔﺖ ﺃﻥ ﺑﺎﺑﺎ ﻧﻮﻳﻞ ﻫﻮ ﻓﻲ ﺍﻟﻮﺍﻗﻊ ﺃﺑﻲ!"""
