Speaker,Spanish (ES)
,"""¿Es cierto lo que se rumorea, Ange-chan? ¿Saltaste de la cima de un rascacielos?"""
Ushiromiya Ange,"""Los fanáticos se estaban poniendo molestos, así que escapé de ellos."""
,Ange y un caballeroso anciano que vestía un costoso traje estaban solos en una enorme y moderna sala de conferencias.
,"Todas las máquinas de presentaciones más modernas estaban instaladas allí, pero no perturbaban la refinada y compuesta atmósfera de la sala de conferencias, y ya eso era suficiente para hacer la temática de salón de negocios muy clara."
,"Sin embargo, eso no le importaba para nada a Ange."
,"Se sentó descuidadamente en una silla de clase alta donde los ejecutivos que ganan un salario de varios millones de yenes probablemente se sentarían, observando indiferentemente el mundo."
Ushiromiya Ange,"""Es porque sabía que estaban remodelando abajo y había una red de seguridad allí."""
,"Ange habló de ello como si no fuese gran cosa, pero en realidad, era un {i:milagro} entre los milagros."
,"El pensar que ella había atravesado varias capas de redes de seguridad del proyecto de remodelación, sido atrapada en un cartel multicolor que adornaba el atrio y resbalado de ahí... para ser suavemente capturada por un último cartel y aterrizar en el suelo sin un rasguño, y entonces salir rápidamente de ese lugar... comparado a eso, las películas de Hong Kong no eran nada."
,"""Aunque supieses que había una red, aun así, era un rascacielos de 200 metros de alto, ¿cierto? Si las cosas no hubieran ido como las planeaste, habría un desastre con el cual lidiar ahora."""
Ushiromiya Ange,"""... Supuse que si moría, entonces estaría muerta y eso es todo, más o menos. Bien, aun así, estaba probando un poco mi suerte. Fue por mi entusiasmo juvenil."""
,"Ange, como diciendo que ya había tenido suficiente de ese tema, se encogió de hombros fríamente."
,"Al ver eso, el caballeroso anciano, que estaba mirando al mundo a través de una grieta en las persianas, rió."
,"""¡Así que estabas probando tu suerte!... Vaya, vaya, de verdad eres la nieta de Kinzo-san. El coraje de confiar tu vida al azar... La Presidenta era también una persona que podía jugarse su vida en una apuesta como si nada, ¿así que esta también es la sangre Ushiromiya?"""
,"""... Realmente serás alguien grande en el futuro. Sigue mi consejo. ¿Por qué no renunciar a estas huídas de casa y regresar a la familia Sumadera?"""
Ushiromiya Ange,"""Escuché que mamá se llevaba mal con su familia. No quiero ir a la casa de unas personas a quienes conocí en un funeral."""
,La familia Sumadera ({p:0:須磨寺}) era la familia de mi mamá.
,"Era una antigua familia de Kioto, cuya disciplina contrastaba fuertemente con el carácter amable de mamá."
,"La única persona de los Sumadera con la que me había llevado bien había sido el abuelo, quien no vivía con ellos, por su jubilación."
,"Mamá también trataba solo con él, evitando al resto de la familia, lo cual fue considerado por los Sumadera, como un acto hostil."
,"Así que para mí, ir de visita a jugar con la familia Sumadera, era en realidad, ir a visitar solo al abuelo."
,"Cuando era pequeña, no lo llegaba a entender, pero escuché que el abuelo entró a la familia de su esposa, y estaba en una posición extremadamente débil, además de que su relación con la abuela también era mala."
,"... Tal vez podría decir que él realmente era odiado por la abuela, y estaba confinado en aquella casa."
,"No es difícil imaginar que mamá era odiada por la familia Sumadera, por llevarse bien nada más que con el abuelo."
,"Como su hija, probablemente también me odiasen bastante."
,"Y aun así, aparecieron por primera vez en el funeral de mamá, comentando descaradamente cuánto había crecido, como si pudiesen actuar como una familia después de todo este tiempo..."
,"Tras la muerte de la tía Eva, yo heredaría toda la fortuna de la familia Ushiromiya."
,"Si esa no hubiera sido su meta, no hubiese habido forma de que hubiesen podido decir palabras tan desagradables."
,"""... Bueno, no es como si no pudiese entender tu deseo de autoabandono, ahora que estás completamente sola."""
