Speaker,Arabic (AR)
,ﻛﺎﻥ ﺻﻮﺕ ﺍﻟﻤﻄﺮ ﻳﺼﺪﺡ ﻣﻊ ﺻﻮﺕ ﺑﺮﻧﺎﻣﺞ ﺍﻷﻃﻔﺎﻝ ﺍﻟﺬﻱ ﺗﺸﺎﻫﺪﻩ ﻣﺎﺭﻳﺎ، ﺑﺎﻹﺿﺎﻓﺔ ﺇﻟﻰ ﺻﻮﺕ ﻣﺎﺭﻳﺎ ﺍﻟﻤﻐﻤﻮﺭ ﺑﺎﻟﺴﻌﺎﺩﺓ.
,ﺑﻌﺒﺎﺭﺓ ﺃﺧﺮﻯ، ﺍﻟﺬﻱ ﺍﺳﺘﻘﺒﻠﻬﻢ ﻋﻨﺪ ﻋﻮﺩﺗﻬﻢ ﻣﺬﻋﻮﺭﻳﻦ ﻣﻦ ﺫﻟﻚ ﺍﻟﻤﺸﻬﺪ ﺍﻟﻮﺣﺸﻲ ﺍﻟﻤﻔﺠﻊ، ﻛﺎﻥ ﺻﻮﺕ ﻣﺎﺭﻳﺎ ﻭﻫﻲ ﺗﺘﻠﻮﻯ ﻣﻦ ﺍﻟﻀﺤﻚ ﺑﺴﺒﺐ ﻣﺎ ﺗﺸﺎﻫﺪﻩ ﻋﻠﻰ ﺍﻟﺘﻠﻔﺎﺯ...
,ﻛﺎﻥ ﺍﻟﺼﻤﺖ ﻳﺨﻨﻘﻬﻢ، ﺇﻧﻬﻢ ﻋﺎﺟﺰﻭﻥ ﻋﻦ ﺇﻳﺠﺎﺩ ﻃﺮﻳﻘﺔ ﻳﺨﺒﺮﻭﻥ ﺑﻬﺎ ﻣﺎﺭﻳﺎ ﺃﻥ ﻭﺍﻟﺪﺗﻬﺎ، ﺭﻭﺯﺍ، ﻗﺪ ﻣﺎﺗﺖ.
,ﺣﺪﻗﺖ ﺇﻟﻴﻬﻢ ﻣﺎﺭﻳﺎ ﺑﻨﻈﺮﺍﺕ ﻣﺮﺗﺎﺑﺔ. ﻭﻟﻜﻦ ﻋﻨﺪﻣﺎ ﺃﺩﺭﻛﺖ ﺃﻧﻬﻢ ﻻ ﻳﺤﺎﻭﻟﻮﻥ ﺇﻟﻘﺎﺀ ﺍﻟﻠﻮﻡ ﻋﻠﻴﻬﺎ ﻟﻔﻌﻠﻬﺎ ﺷﻴﺌﺎ ﻗﺪ ﻳﻜﻮﻥ ﺧﺎﻃﺌﺎ، ﺗﺠﺎﻫﻠﺘﻬﻢ ﻭﺍﻧﺪﻣﺠﺖ ﻣﺮﺓ ﺃﺧﺮﻯ ﻓﻲ ﻣﺸﺎﻫﺪﺓ ﺍﻟﺒﺮﻧﺎﻣﺞ ﺍﻟﺘﻠﻔﺰﻳﻮﻧﻲ...
,ﺟﻠﺲ ﺍﻟﺼﻐﺎﺭ ﺻﺎﻣﺘﻴﻦ ﻋﻠﻰ ﺍﻷﺭﻳﻜﺔ...{n}ﻏﻴﺮ ﻣﺪﺭﻛﻴﻦ ﻟﻤﺎ ﺣﻮﻟﻬﻢ ﻣﻦ ﺃﺛﺮ ﺍﻟﺼﺪﻣﺔ.
,ﻟﻘﺪ ﺑﻜﻮﺍ ﻛﺜﻴﺮﺍ... ﻟﻜﻨﻬﻢ ﺍﻵﻥ ﻳﺠﻠﺴﻮﻥ ﻫﻨﺎﻙ ﺑﺸﻜﻞ ﻣﺒﻬﻢ، ﻣﻊ ﻭﺟﻪ ﺧﺎﻝ ﻣﻦ ﺍﻟﺘﻌﺎﺑﻴﺮ....
,ﻛﺎﻧﻮﻥ ﻭﺣﺪﻩ ﺍﻟﺬﻱ ﻋﺎﺩ ﺇﻟﻰ ﺗﻌﺒﻴﺮﻩ ﺍﻟﻬﺎﺩﺉ ﺍﻟﻤﻌﺘﺎﺩ.{n}ﻭﻟﻜﻦ، ﻫﺬﺍ ﻻ ﻳﻌﻨﻲ ﺃﻧﻪ ﺍﺳﺘﻄﺎﻉ ﺗﺠﺎﻭﺯ ﺻﺪﻣﺘﻪ.
,ﻟﻢ ﻳﻨﻌﻜﺲ ﺷﻲﺀ ﻓﻲ ﻋﻴﻨﻴﻪ ﺑﻴﻨﻤﺎ ﻳﺤﺪﻕ ﻓﻲ ﺍﻟﻔﺮﺍﻍ...
,ﻳﺸﻌﺮ ﻫﻴﺪﻳﻮﺷﻲ ﺑﺎﻟﻔﺰﻉ ﻛﻠﻤﺎ ﺗﺬﻛﺮ ﺫﻟﻚ ﺍﻟﻤﺸﻬﺪ ﺍﻟﻔﻈﻴﻊ، ﺇﺫ ﻇﻞ ﻳﺘﻤﺘﻢ،'ﻻ ﻳﺼﺪﻕ. ﻫﺬﺍ ﻟﻴﺲ ﻓﻌﻼ ﺑﺸﺮﻳﺎ، ﺇﻧﻪ ﻋﻤﻞ ﺍﻟﺸﻴﻄﺎﻥ'
,ﻭﺑﻴﻦ ﺍﻟﺤﻴﻦ ﻭﺍﻵﺧﺮ، ﻳﻮﺟﻪ ﺃﺳﺌﻠﺔ ﺇﻟﻰ ﻧﺎﻧﺠﻮ، ﻟﻜﻦ ﻧﺎﻧﺠﻮ، ﺑﺄﺳﻠﻮﺏ ﻫﺎﺩﺉ ﻳﻤﻴﺰ ﺍﻷﻃﺒﺎﺀ، ﺍﺳﺘﻤﺮ ﻓﻲ ﺗﻜﺮﺍﺭ ﺃﻧﻪ ﻻ ﻳﻤﻜﻦ ﻓﻬﻢ ﺷﻲﺀ ﻣﻦ ﺧﻼﻝ ﺍﻟﻨﻈﺮ ﻓﻘﻂ ﻋﻠﻰ ﻣﺴﺮﺡ ﺍﻟﺠﺮﻳﻤﺔ، ﻭﺃﻧﻪ ﻟﻦ ﻳﻌﺮﻑ ﺷﻴﺌﺎ ﺣﺘﻰ ﺗﺼﻞ ﺍﻟﺸﺮﻃﺔ.
,ﻣﻊ ﺫﻟﻚ، ﺑﺪﺍ ﻧﺎﻧﺠﻮ ﻫﺎﺩﺋﺎ ﻣﻘﺎﺭﻧﺔ ﺑﻬﻴﺪﻳﻮﺷﻲ ﺍﻟﺬﻱ ﻛﺎﻥ ﻣﻀﻄﺮﺑﺎ ﻭﺧﺎﺋﻔﺎ ﻟﻠﻐﺎﻳﺔ.
,ﻓﻲ ﺍﻟﻮﺍﻗﻊ، ﺑﺪﺍ ﻭﺟﻪ ﻧﺎﻧﺠﻮ ﺷﺎﺣﺐ ﺍﻟﻠﻮﻥ، ﻓﻘﺪ ﺗﻠﻘﻰ ﻫﻮ ﺃﻳﻀﺎ ﺻﺪﻣﺔ ﻛﺒﻴﺮﺓ.
,ﺭﺑﻤﺎ ﺑﺴﺒﺐ ﺭﺩﻭﺩ ﺃﻓﻌﺎﻟﻬﻢ ﻗﺮﺭﺕ ﻧﺎﺗﺴﻮﻫﻲ ﺍﻟﺼﻤﻮﺩ ﻭﺗﺤﻤﻞ ﺍﻟﻤﺴﺆﻭﻟﻴﺔ.
,ﻣﻤﺎ ﻳﺒﺪﻭ ﺃﻥ ﻧﺎﺗﺴﻮﻫﻲ ﻟﻢ ﺗﻐﻴﺮ ﻣﻦ ﺳﻠﻮﻛﻴﺎﺗﻬﺎ ﺍﻟﻤﻌﺘﺎﺩﺓ.{n}ﺣﻴﺚ ﺑﺪﺃﺕ ﺑﺈﻋﻄﺎﺀ ﺍﻷﻭﺍﻣﺮ ﺑﻼ ﻫﻮﺍﺩﺓ.
