Speaker,Arabic (AR)
,ﺍﺟﺘﺎﺡ ﺍﻟﺼﻤﺖ ﺭﺩﻫﺔ ﻣﻨﺰﻝ ﺍﻟﻀﻴﺎﻓﺔ.
,ﻛﺎﻥ ﺍﻟﺘﻮﺗﺮ ﺍﻟﺬﻱ ﻳَﺸﺪُّ ﺃﻋﺼﺎﺏ ﻛﺮﺍﻭﺱ ﻭﻧﺎﺗﺴﻮﻫﻲ ﻭﺇﻳﻔﺎ ﻗﺪ ﺧﻒّ ﻗﻠﻴﻼً، ﻟﻜﻦ ﺍﻹﺭﻫﺎﻕ ﻗﺪ ﺃﻧﻬﻜﻬﻢ ﺗﻤﺎﻣًﺎ، ﻭﺑﺪﺃ ﺍﻻﺿﻄﺮﺍﺏ ﻳﻤﻠﺆ ﻋﻘﻮﻟﻬﻢ.
,ﻭﺑﻴﻦ ﺍﻟﺤﻴﻦ ﻭﺍﻵﺧﺮ ﻛﺎﻧﻮﺍ ﻳﻨﻬﻀﻮﻥ ﻭﻳﻤﺸﻮﻥ ﻓﻲ ﺍﻟﻤﻨﺰﻝ ﺑﻼ ﺣﻮﻝٍ ﻟﻬﻢ ﻭﻻ ﻗﻮﺓ، ﻣﺤﺎﻭﻟﻴﻦ ﻣﻘﺎﻭﻣﺔ ﻧﻌﺎﺳﻬﻢ.
Ushiromiya Natsuhi,"""....ﺃﺃﻧﺖِ ﺑﺨﻴﺮ ﻳﺎ ﺇﻳﻔﺎ-ﺳﺎﻥ؟ ...ﺍﺭﺗﺎﺣﻲ ﻣﻦ ﻓﻀﻠﻚ."""
Ushiromiya Eva,"""ﺃﻟﻢ ﺃﺧﺒﺮﻙِ ﺑﺄﻧﻲ ﺑﺨﻴﺮ...... ...ﻧﺤﻦ ﺍﻟﺜﻼﺛﺔ ﺍﻟﻜﺒﺎﺭ ﻓﻘﻂ ﻣﻦ ﺑﻘﻴﻨﺎ ﺃﺣﻴﺎﺀ... ﻻ ﻳﻮﺟﺪ ﻭﻗﺖ ﻟﻠﺮﺍﺣﺔ... ﺳﺄﺣﻤﻲ ﻫﺬﺍ ﺍﻟﻤﻜﺎﻥ ﻣﻬﻤﺎ ﻛﻠّﻒ ﺍﻷﻣﺮ...... ......ﺁﺁﺁﻩ، ﺁﺁﺁﻩ..."""
,ﺗﺤﺪﺛﺖ ﺑﺤﺰﻡ، ﻟﻜﻨّﻬﺎ ﻟﻢ ﺗﺴﺘﻄﻊ ﺇﺧﻔﺎﺀ ﺻﻌﻮﺑﺔ ﺗﻨﻔﺴﻬﺎ.{n}...ﻳﺒﺪﻭ ﺃﻥ ﺍﻟﺤﻤﻰ، ﺍﻟﺘﻲ ﻫﺪﺃﺕ ﻟﻔﺘﺮﺓ ﻗﺼﻴﺮﺓ ﺇﺛﺮ ﺗﻨﺎﻭﻟﻬﺎ ﺍﻟﺪﻭﺍﺀ، ﻗﺪ ﻋﺎﺩﺕ.
,ﻛﺎﻥ ﻣﻦ ﺍﻟﻮﺍﺿﺢ ﺟﺪًﺍ ﺃﻥ ﺻﺤﺔ ﺇﻳﻔﺎ ﻟﻢ ﺗﻜﻦ ﺟﻴﺪﺓ.
Ushiromiya Krauss,"""ﻻ ﺩﺍﻋﻲ ﻹﺟﻬﺎﺩ ﻧﻔﺴﻚِ. ﻋﻠﻰ ﺍﻷﻗﻞ ﺧﺬﻱ ﻗﺴﻄًﺎ ﻣﻦ ﺍﻟﻨﻮﻡ، ﻟﻮ ﺣﺪﺙ ﺷﻲٌ ﻳﺴﺘﺪﻋﻲ ﺍﺳﺘﻴﻘﺎﻇﻚ، ﻓﺴﻨﻮﻗﻈﻚ ﺣﺘﻤًﺎ."""
Ushiromiya Eva,"""ﻟﻘﺪ ﺃﺧﺒﺮﺗﻜﻤﺎ ﺑﺄﻧّﻲ ﺑﺨﻴﺮ...! ﺍﺗﺮﻛﺎﻧﻲ ﻭﺷﺄﻧﻲ...!!"""
Ushiromiya Natsuhi,""".............................."""
,ﻛﺎﻥ ﻭﺍﺿﺤﺎً ﺃﻧﻬﺎ ﺃﺻﺒﺤﺖ ﻋﻨﻴﺪﺓ ﺟﺪﺍً ﺍﻵﻥ. ......ﺑﺎﻟﺘﺎﻟﻲ، ﺃﺩﺭﻙ ﻛﻞٌّ ﻣﻦ ﻛﺮﺍﻭﺱ ﻭﻧﺎﺗﺴﻮﻫﻲ ﺃﻥ ﺍﻟﺤﺪﻳﺚ ﻟﻦ ﻳُﺠﺪﻱ ﻣﻌﻬﺎ ﻧﻔﻌًﺎ ﻭﻫﻲ ﻓﻲ ﺗﻠﻚ ﺍﻟﺤﺎﻟﺔ.
,ﻟﺬﻟﻚ ﻗﺮﺭﺍ ﺗﺮﻛﻬﺎ ﻭﺷﺄﻧّﻬﺎ.
,ﺑﺎﻟﻨﺴﺒﺔ ﻹﻳﻔﺎ ﺃﻳﻀًﺎ، ﻓﺈﻥ ﺍﻟﺠﺪﺍﻝ ﻟﻦ ﻳﺰﻳﺪﻫﺎ ﺇﻻ ﺗﻌﺒًﺎ.{n}...ﺍﻟﺒﻘﺎﺀ ﺟﺎﻟﺴﺔ ﺑﻬﺪﻭﺀ ﺩﻭﻥ ﻗﻮﻝ ﺷﻲﺀ ﺳﻴﻜﻮﻥ ﺃﺧﻒ ﻋﻠﻰ ﺟﺴﺪﻫﺎ.
,ﻓﻲ ﺍﻟﺤﻘﻴﻘﺔ، ﻛﺎﻧﺖ ﺇﻳﻔﺎ ﻋﻠﻰ ﺑﻌﺪ ﺧﻄﻮﺓ ﻣﻦ ﺳﻘﻮﻃﻬﺎ ﺗﻌﺒًﺎ. ...ﺭﺑﻤﺎ ﺭﺩّﺕ ﻋﻠﻴﻬﻢ ﺑﻌﺼﺒﻴﺔ ﻷﻧّﻬﺎ ﻛﺎﻧﺖ ﺗﺤﺎﻭﻝ ﺇﻳﻘﺎﻅ ﻧﻔﺴﻬﺎ ﻭﺍﻟﺘﺨﻠﺺ ﻣﻦ ﺷﻌﻮﺭﻫﺎ ﺑﺎﻟﻨﻌﺎﺱ.
,ﻛﺎﻧﺖ ﺍﻟﺴﺎﻋﺔ ﺗﻘﺘﺮﺏ ﻣﻦ ﺍﻟﺴﺎﺩﺳﺔ ﻣﺴﺎﺀً.
