Speaker,Spanish (ES)
,"... Aun cuando estaba en un mundo completamente a oscuras donde no podía ver nada... por alguna razón, sentía la presencia de Beato a mi lado."
,"... Así que traté de llamarla.{n}... Uno puede intercambiar palabras con otro, sea este un humano o una bruja."
,... Por lo que incluso en un mundo donde las brujas han sido negadas... debería estarme permitido hablar con ella...
Ushiromiya Battler,"""... Beato..."""
{f:5:Beatrice},"""... Battler, eres tú... Está hecho... Yo... lo hice."""
Ushiromiya Battler,"""... Sí... No pude oírlo... pero te observé hasta el final... Definitivamente te vi... enfrentándote temerariamente a esa bruja malvada..."""
{f:5:Beatrice},"""... Con esto... ya no soy una bruja. Pero definitivamente... volveré a convertirme en una bruja... Y entonces... haré lo que deba hacer para ser llamada nuevamente la Bruja Dorada, y una vez más... volveré... de modo que pueda ser aceptada como tu oponente..."""
Ushiromiya Battler,"""No... Tú... eras una bruja."""
{f:5:Beatrice},"""... ¿Eh?..."""
Ushiromiya Battler,"""... Estuve viendo... Cuando derrotaste a esa bruja malvada... y la aplastaste con tu increíble magia, exponiendo su verdadera forma... lo vi con mis propios ojos..."""
{f:5:Beatrice},"""E-Eso no era magia... sino la verdad ro—"""
Ushiromiya Battler,"""No, era magia... Definitivamente eras... la Bruja Dorada. Incluso te negaste a ti misma... Lo aceptaré... ‘Tú definitivamente eres... la Bruja Dorada’."""
,... Cuando Battler pronunció esas palabras...
,"En aquel oscuro mundo, de repente apareció una única partícula."
,"... Una pequeña partícula de oro, como una semilla de trigo, brillaba resplandeciente.{n}... Aunque era muy pequeña, tenía un fuerte resplandor dorado."
,"Y... los iluminó a los dos, sentados con las espaldas juntas..."
,Por lo que se percataron de sus formas.
,... No existían únicamente como conciencias.
,... Se percataron de que tenían cuerpos y de que realmente existían.
,"... No, tal vez deberíamos decir que ambos habían recibido una existencia llamada cuerpo."
,"Cuando Battler vio su forma, no estaba muy sorprendido."
,"... Pero cuando Beato miró su propia forma, se sobresaltó un poco."
,"... Desde el punto de vista de Battler, lucía como siempre... pero por un rato ella estuvo sorprendida por ello..."
{f:5:Beatrice},"""... ¿Qué... está sucediendo?..."""
Ushiromiya Battler,"""El resplandor de esa partícula de luz... es cada vez más fuerte..."""
,"Aquel grano de trigo ya no era simplemente dorado, sino que era como la luz del sol."
,"Entonces, lentamente... empezó a acercarse al pecho de Beato."
,Cuando esa partícula de sol... fue absorbida por su pecho...
,"... El mundo fue envuelto por un cielo azul profundo, para que luego un océano, también del mismo color, se extendiera debajo."
,"De él se levantó una isla, crecieron árboles creando un bosque, las paredes nos rodearon y el techo nos envolvió."
,Y progresivamente fue adornado por más y más cosas... cada vez más parecido al vestíbulo de la mansión Ushiromiya.
,"En medio del maravilloso vestíbulo donde montones de mariposas doradas batían sus alas... se encontraban muchas mesas con manteles blancos, como si fuera a haber una fiesta, y una magnífica comida y frutas estaban preparadas sobre ellas."
,"... Y a un lado... había muchísimas figuras.{n}Todos estaban allí, y se encontraban hablando y sonriendo."
Ushiromiya Battler,"""C-Chicos..."""
,"Estaban papá y Kyrie-san, el tío Krauss, la tía Natsuhi y la tía Rosa, y por supuesto, incluso la tía Eva y el tío Hideyoshi."
,"... George-aniki, Jessica, María... un segundo, incluso Shannon-chan, Kanon-kun, Gohda-san y Kumasawa-san estaban allí."
,"Todos, todos estaban en la fiesta, aplaudiendo y celebrando nuestro regreso..."
Ushiromiya Battler,"""¿Có-Cómo?... ¡Todos estaban muertos!... ¡¿Por qué es que están con vida?!..."""
{f:5:Virgilia},"""... En la Tierra Dorada, todas las almas de los muertos pueden ser revividas... Bienvenida de vuelta, {f:5:Beatrice}. Y bienvenido, Battler‐kun. Bienvenido a la Tierra Dorada."""
{f:5:Beatrice},"""... Yo... ¿lo logré?... ¿Llegué a las puertas... de la Tierra Dorada?"""
Ronove,"""Sí... Milady, finalmente pudo invitar a todos a la Tierra Dorada. Bienvenido a la Tierra Dorada, Battler-sama."""
Ushiromiya Kinzo,"""Battler... Así que finalmente has podido llegar hasta aquí."""
Ushiromiya Battler,"""A-Abuelo... ¿Dónde... estoy?..."""
Ushiromiya Kinzo,"""... Mi sangre, la cual es incompatible con la magia, corre profundamente por tus venas... Por lo tanto, tú eras el único que no podía llegar a la Tierra Dorada, y {f:5:Beatrice} te ha estado buscando todo este tiempo... Ella hizo todo lo posible para traerte hasta aquí."""
Ushiromiya Battler,"""... ¿Qué fue lo que dijiste?..."""
Nanjo Terumasa,"""Parece que por fin estamos todos aquí."""
Gohda Toshiro,"""Battler-sama, por favor, tome asiento. La cena de esta noche es mi mejor trabajo. Por favor, disfrute de su sabor."""
Beelzebub,"""¡¡Deberías sentirte honrado!! ¡Normalmente, me lo habría comido todo yo sola, pero te dejé un poco por lástima!"""
Ushiromiya Battler,"""... Las chicas de las Siete Estacas..."""
Lucifer,"""En la Tierra Dorada, todo aquél que posea una mente es un igual... Aquí no hay distinción entre nosotros los muebles, los humanos y las brujas."""
Shannon,"""... Battler-sama. Lo estábamos esperando. Y bienvenido a la Tierra Dorada..."""
Ushiromiya Battler,"""¡¡Shannon-chan... George-aniki!!..."""
Ushiromiya George,"""... Sigo sospechando que esto podría ser un sueño... Deberíamos estar muertos... Pero... estoy vivo. Y todos, todos están aquí... y están felices... No puedo creerlo."""
Ushiromiya Eva,"""¡Es verdad, este lugar debe ser solo un sueeeño! ¡Así que debe ser un sueño también que George esté tan a gusto con una sirvienta! ¡Waaaaaah!"""
Ushiromiya Hideyoshi,"""Déjalo ya, Eva. Por ahora 'tate tranquila y dale tus bendiciones a esos dos jovencitos. La Tierra Dorada es un lugar de felicidad. ¡No deberíamos pelear aquí!..."""
Mammon,"""Aquí, todos pueden amar a quien quieran... Nadie necesita vacilar al respecto."""
Asmodeus,"""¡Jessica-chan, Kanon-kun, qué maravilla! ¡Estoy tan celoooosa!"""
Ushiromiya Jessica,"""... O-Oye, Battler... Esto es un poco, umm, wajajajaja..."""
Kanon,"""Battler‐sama, bienvenido. Y bienvenido a casa..."""
,Jessica probablemente estaba avergonzada por estar tomada de las manos con Kanon-kun.
,"Y Kanon-kun intentaba actuar como un humilde sirviente y hacer una reverencia, pero como ninguno de los dos podía soltarse de la mano del otro, él no podía hacerla y la escena lucía bastante cómica."
Ushiromiya Natsuhi,"""¡¡¿Con uno de los sirvientes?!!... ¡¡No puede ser, nuestra Jessica no podría hacer algo así!!..."""
Ushiromiya Krauss,"""No es realmente un problema, ¿o sí? Déjala al menos elegir a la persona que le gusta."""
Ushiromiya Natsuhi,"""¡No puede, no puede, aaaaaaaaaahhh, Jessicaaaaaaaaa!"""
Ushiromiya Eva,"""¡Tú tampoco puedeeeeees, Geooooooooorge!"""
,"... Mientras la tía Natsuhi y la tía Eva se abrazaban, derramaron lágrimas de pesar por sus queridos hijos."
,... Considerando que nunca se habían llevado bien... la escena lucía bastante extraña.
Ushiromiya Rosa,"""... No es realmente un problema, ¿verdad? No importa a quién le guste quién."""
Ushiromiya Kyrie,"""Exactamente. Es la prueba de que el padre no ha dejado ir a su hijo."""
Ushiromiya Rudolf,"""Battleeer, no importa qué tipo de mujer traigas a casa, yo la aceptaré caluroooosamente ¿de acuerdo?"""
Ushiromiya Kyrie,"""No puedes presentársela a este tipo, ¿sabes? Le pondrá las manos encima al instante. Huiría con ella con solo verla."""
Ushiromiya Maria,"""... Battler. Finalmente llegaste hasta aquí. Kijijijijijijijiji."""
Ushiromiya Battler,"""María... ¿Desde el principio... sabías que vendríamos aquí?..."""
Ushiromiya Maria,"""¡Uu! Es por eso es que María no estaba nada asustada. Todos estaban tan asustados y temblando. ¡Fue divertido!"""
Ushiromiya Battler,"""... Qué diablos... Y yo que pensaba que tú eras la que más loca estaba... pero de hecho sabías la verdad desde el principio."""
Chiester45,"""¡Q-Qué grosero!... ¡No te perdonaré por hablar así de Lady {f:5:María}!"""
Chiester410,"""Formación de Precisión de Disparo, Preparativos de Ataque Listos. Lady {f:5:María}, estamos listas para atacar en cualquier momento. ¡Niji!"""
Ushiromiya Maria,"""¡Kijijijijijijijijijijijijijijijijijijijijijiji!... ¡Ouch!"""
Ronoue Genji,"""... Silencio. Estamos ante la presencia de {f:5:Beatrice}‐sama."""
