Speaker,Spanish (ES)
,No había forma de darse cuenta de la llegada del amanecer sin abrir una ventana y mirar al cielo nublado que se había vuelto un poco más claro.
,"No era una mañana refrescante. Todo lo que se podía escuchar era el sonido de la lluvia, la cual había estado cayendo desde la noche anterior, y el bramido del viento..."
Ushiromiya Kyrie,"""... Es difícil imaginar que es de mañana. Este horrible clima refleja nuestros corazones."""
Ushiromiya Rudolf,"""Pensándolo así, yo diría que es bastante suave. Deberíamos considerarnos afortunados de que caiga lluvia y no lanzas."""
Ushiromiya Hideyoshi,"""Wajajaja. Ya sea lluvia o lanzas, pues que vengan, digo yo."""
Ushiromiya Hideyoshi,"""... ¿Ya son las 6:00? Fuaaaaaa... ¿No es e'to suficiente? No pue'o hacer mucho más hasta que la misteriosa 19.ª persona, {f:5:Beatrice}, entre en acción."""
Ushiromiya Krauss,"""Eso es correcto... De cualquier forma, creo que ya hemos pensado en todos los trucos posibles que podrían usar contra nosotros."""
Ushiromiya Eva,"""Es verdad. Mientras no aparezca un traidor entre los hermanos, podríamos ser capaces de lidiar con casi todas las situaciones."""
Ushiromiya Rosa,"""... ¿No hemos hablado ya lo suficiente sobre esto? Nos quedamos despiertos toda la noche... Estoy cansada."""
Ushiromiya Natsuhi,"""Tienes razón. ¿Qué tal si tomamos un pequeño descanso después de tomar el desayuno?"""
Ushiromiya Krauss,"""... Buen plan. Quedarse despierto toda la noche es un esfuerzo a nuestra edad."""
,"Mientras se estiraban, disfrutaban esta no refrescante mañana lo mejor que podían."
Ushiromiya Rudolf,"""Vayamos a lavarnos la cara o algo. Probablemente lucimos horribles."""
Ushiromiya Kyrie,"""¿...? ¿Qué es ese horrible olor?"""
,"Tan pronto como salieron al pasillo, Kyrie abiertamente hizo una expresión de disgusto."
Ushiromiya Natsuhi,"""... ¿Qué sucede?"""
Ushiromiya Kyrie,"""Oigan, ¿No huelen algo horrible?..."""
Ushiromiya Hideyoshi,"""... Mm... ¿Qué es e'te olor? No lo soporto..."""
,"Debido al escándalo, todos asomaron la cabeza al pasillo.{n}... Era un olor débil, pero después de que Kyrie comenzó a quejarse sobre el hedor, todos lo notaron claramente."
,"Cada uno fue hacia el pasillo, apoyándose en su sentido del olfato para decir de dónde provenía aquel hedor..."
Ushiromiya Natsuhi,"""¿Qué demonios podrá ser? Dejemos que Genji se encargue de ello. Tengo entendido que él ya debería haber llegado a la habitación de los sirvientes para comenzar con los preparativos de la mañana."""
Ushiromiya Krauss,"""Mmm, por favor. Es difícil imaginar que Gohda, de todas las personas, pudiera estar haciendo un desayuno que causara este tipo de hedor..."""
,"El grupo de Rudolf buscó el origen del hedor, y determinaron que provenía de abajo, de la sala de calderas."
,"Pero la puerta estaba cerrada, y no podían revisar adentro."
,"Mientras tanto, el grupo de Natsuhi se dirigía a buscar a alguien en la habitación de los sirvientes, cuando notaron algo extraño en el salón."
Ushiromiya Natsuhi,"""... ¡¿Qué es esto?!..."""
Ushiromiya Rosa,"""E-Es una broma horrible... ¿Quién pudo hacer algo como esto?..."""
,"Dibujado en la puerta del salón, con una pintura que parecía sangre, había un especie de... extraño círculo mágico."
Ushiromiya Eva,"""Nadie ha venido a la cocina aún... ¿Q-Qué es... eso?"""
,"El grupo de Eva, quienes pensaron que el olor provenía de la cocina, había vuelto después de revisar que nadie estuvo ahí y que la preparación para el desayuno no había comenzado todavía."
,... Y habían notado algo inusual en el salón.
Ushiromiya Rudolf,"""Es inútil, la sala de calderas está cerrada. ¿No sería malo si algo se hubiera roto en ella? ¿Había algún sirviente cerca?"""
Ushiromiya Kyrie,"""¡...! ¿También aquí hay otro vulgar garabato? Hay uno igual en la puerta de la sala de calderas."""
Ushiromiya Hideyoshi,"""¡¿Qué es eso?! ¡¿E'te horrible garabato no está solamente aquí, sino que en otros lugares también?! Jaja, no creerán que esta es una declaración de guerra de la bruja del bosque, {f:5:Beatrice}, ¿cierto?"""
,"Hideyoshi intentó ser gracioso al respecto, pero el estar mirando este tenebroso círculo mágico y escuchando solo el sonido de la lluvia y el viento, en verdad lo hacía ver como si fuera un mensaje de la bruja."
,"... La pintura roja chorreando la hacía parecer sangre, y hacía las cosas aún más espeluznantes."
,"Hideyoshi intentó abrir la puerta, pero estaba cerrada."
,"... Como regla general, el salón no debería estar cerrado.{n}Alguien se había tomado la molestia de cerrarlo."
Ushiromiya Rosa,"""... ¿Qué significa esto?... Puede ser que, mientras estábamos hablando en el comedor, ¿alguien secretamente dejó este garabato... en las puertas del salón y la sala de calderas?"""
Ushiromiya Eva,"""... Estoy segura que los sirvientes tienen que estar detrás de todo esto. Nosotros estuvimos juntos todo el tiempo. Todos tenemos coartadas... Probablemente ellos recibieron alguna orden extraña de padre, e hicieron esta broma."""
Ushiromiya Rudolf,"""... Incluyendo el caso de ayer con la carta de María-chan. Es fácil sospechar que los sirvientes están actuando bajo las órdenes de papá y están planeando algo... De cualquier forma, ¿dónde están todos? No pueden estar jugando a las escondidas. Vamos a buscarlos."""
