Speaker,Spanish (ES)
Ushiromiya Lion,"""Hemos traído a Willard‐san."""
Willard H. Wright,"""..."""
,Kinzo y Genji se encontraban en la habitación VIP.
,Kinzo estaba sentado en una silla con sus ojos cerrados como si estuviese en un sueño intranquilo.
Ronoue Genji,"""... Mi amo. Los invitados han venido a verlo."""
Ushiromiya Kinzo,"""... Nn."""
,Kinzo abrió lentamente sus ojos.{n}... Esos ojos estaban rojos de tanto llorar.
,Habían recuperado su enfoque y lentamente aterrizaron en Will.
Ushiromiya Kinzo,"""... Yo soy... Ushiromiya Kinzo."""
Ushiromiya Lion,"""... Will."""
Willard H. Wright,"""Soy Willard. Dejame expresar mis condolencias."""
Ushiromiya Kinzo,"""... ¿Has venido a asistir al funeral de Beatrice?... ¿Quién eres?"""
Willard H. Wright,"""No soy nadie. No tengo ninguna conexión con nadie. No piense mucho en ello. Solo le dará dolor de cabeza... Ow."""
Ushiromiya Lion,"""Te pido que elijas tus palabras con más cuidado."""
Ushiromiya Kinzo,"""... Hmph, qué invitado tan extraño. ¿Entonces? ¿Qué asuntos tienes conmigo?"""
Willard H. Wright,"""Quiero preguntarle sobre Beatrice."""
Ushiromiya Kinzo,"""¿Qué?..."""
,La mirada de Kinzo se agudizo.
,Lion se mareó un poco y se preguntó por qué este chico tenía que ser tan directo.
Ushiromiya Kinzo,"""¿Por qué preguntas? Pensé que no eras nadie. ¿Por qué quieres saber sobre Beatrice? ¿De qué serviría?"""
Willard H. Wright,"""Precisamente porque no soy nadie... puedo escuchar tu historia sin ningún prejuicio, y registrarla. Probablemente dejes este mundo en poco tiempo. Si mueres sin decir nada sobre Beatrice, tus hijos la adornarán con sus propios cuentos y los escribirán en la historia."""
Ushiromiya Kinzo,"""Pft, ¡jajajajajajajajajaja! Me entretienes, chico. ¡¿Te crees un ladrón de testamentos?!"""
Ushiromiya Kinzo,"""Pero es totalmente innecesario. Beatrice es solo mía. No importa lo que digan, nadie puede dictar nuestra historia. ¡Lo que digan es irrelevante! No importa que tanto la malinterpreten Krauss y los demás, ¡no me importa en lo absoluto!"""
Ronoue Genji,"""... Willard‐sama. Al amo no le agradan los testamentos. Él no es nadie para abandonar nada mientras aún vive."""
Willard H. Wright,"""... Es probable que sea verdad. Pensé que sonaba como algo que no era propio de él."""
Ushiromiya Kinzo,"""¡Que el espíritu de lucha persevere hasta el último aliento es lo que nos hace humanos! ¡La simple idea de que me rinda antes de que llegue mi hora y deje atrás un testamento es increíblemente absurda!"""
Willard H. Wright,"""Sí, eso suena como algo más propio de ti... No es tu estilo pedirle a alguien que escriba sobre el pasado solo porque sientes que vas a morir pronto."""
Ushiromiya Lion,"""... Sabemos cuán profundo era tu amor por Beatrice-sama. Eres el modelo más digno de respeto que cualquiera de nosotros podría conocer, y un ejemplo a seguir en cada aspecto de nuestras vidas."""
Ushiromiya Lion,"""Por favor, por el bien de los hemos perdido el camino, permítanos saber cuánto la amó hasta el final, y cómo su amor... y la fuerza de su amor por ella le guió a través de la vida, para que su historia nos guíe a través de nuestras propias vidas..."""
Willard H. Wright,"""Lo haces bastante bien."""
Ushiromiya Lion,"""Es tu culpa por tener tan poco tacto."""
Ushiromiya Kinzo,"""Chico. ¿Qué sabes de Beatrice? Una persona verdaderamente ignorante no tendría ningún interés. El mero hecho de que tú sepas su nombre demuestra que no eres ni ignorante ni inconexo."""
Willard H. Wright,"""Buen punto... La Beatrice que conozco... es la mujer que amabas, la que conociste antes de que la mansión en Rokkenjima fuera siquiera construida. Sin embargo, probablemente se fue de este mundo, dejando atrás una hija. Esa era la niña que fue críada en Kuwadorian."""
Ushiromiya Kinzo,"""... Oh."""
Ronoue Genji,"""Willard‐sama. No hay ninguna construcción conocida como Kuwadorian en Rokkenjima."""
Ushiromiya Lion,"""... Ese nombre, Kuwadorian... También lo mencionaste cuando estabamos hablando con la tía Rosa... ¿Qué demonios significa?"""
Willard H. Wright,"""En este punto ya debes haberte hecho una idea. Es el nombre de la mansión escondida en lo profundo del bosque donde vivía la hija de su ama."""
Ushiromiya Kinzo,"""Interesante... Así que, en realidad conoces el nombre Kuwadorian... Continúa. Has llamado mi atención."""
,Kinzo se encogió de hombros y sonrió...
Willard H. Wright,"""La que vivía en Kuwadorian era probablemente la hija de Beatrice. Sin embargo, parece que usted no la veía de esa forma."""
Ushiromiya Kinzo,"""Oh... ¿Entonces de qué forma la veía?"""
Willard H. Wright,"""Cuando Ushiromiya Rosa fue a Kuwadorian, Beatrice le contó un poco sobre ella... En esa conversación, se refirió a usted como Kinzo. Era igual cuando le hablaba directamente a usted."""
Willard H. Wright,"""A pesar de que ella dijo que lo veía como un padre, ella no lo llamaba papá... o no lo llamaba así, o no tenía permiso de llamarlo así. Eso solo puede significar una cosa."""
Ushiromiya Kinzo,"""¿Y esa cosa sería?..."""
Willard H. Wright,"""Reencarnación. Tú no veías a tu hija como una hija que Beatrice dejó. Creías que la ya difunta Beatrice había revivido en un nuevo cuerpo... Genji. En el pasado, hablaste en frente de Natsuhi y otros miembros de la familia, declarando que nunca hubo un hijo entre Kinzo y Beatrice."""
Ronoue Genji,"""... No recuerdo haber dicho eso."""
,"Por supuesto, el Genji de ""este juego"" probablemente no recordaría eso."
,"Sin embargo, al rededor del final de el primer juego, cuando los sobrevivientes se reunieron en el estudio de Kinzo..."
,"... Le preguntaron a Genji si Kinzo y Beatrice tuvieron un bebé juntos, y lo negó, diciendo ""No he escuchado algo como eso""."
Willard H. Wright,"""‘No he escuchado eso’... En cierto modo, era una respuesta perfecta para uno de los confidentes de Kinzo... Al final, para Kinzo, ella no era una hija, sino la reencarnación de {i:Beatrice}."""
Ushiromiya Lion,"""¡Will!... ¡No sé de que estás hablando, pero no dejaré que calumnies al líder de la familia!"""
Willard H. Wright,"""Esto no es una calumnia. Es un razonamiento... Sin embargo, comprendo su sentir. Beatrice es la mujer a la que más amó. Eso se mantuvo así incluso después de muerta, por toda la eternidad, y sin desvanecerse en lo más mínimo."""
Willard H. Wright,"""Sin embargo, debido a los ojos azules del bebé, su hermoso cabello rubió, y sus rasgos faciales que se asemejaban a los de una Beatrice más joven, si gradualmente hubiera empezado a pensar que ella podría ser en realidad la reencarnación de Beatrice, no sería una sorpresa."""
Ronoue Genji,"""... Mi amo. ¿Debería?..."""
,¿Debería echar a este insolente? Preguntó Genji a Kinzo.
,"Por un tiempo, Kinzo se mantuvo en silencio, como si recordara algo de su propio pasado."
Willard H. Wright,"""Su hija creció hasta convertirse en alguien hermosa y casi idéntica a su madre. Debió sentirse extasiado. Sin embargo, es cuestionable que estuviera completamente satisfecho con esto... Al final, aunque para usted ella era la reencarnación de Beatrice, ella no se sentía así."""
Ushiromiya Kinzo,"""...  ¿Cómo puedes saber eso?"""
Willard H. Wright,"""Ella no podía dejar de sentir que había algo fuera de lugar en que la llamaran Beatrice... Las personas nunca sienten que el nombre que les dieron al nacer este fuera de lugar. Sin embargo, ella sí se sentía así. Eso debe significar que estaba consciente de que el nombre ""Beatrice"" no era suyo."""
,"En Kuwadorian, preguntó a Kinzo y a Rosa sobre quién era."
{f:5:Beatrice},"— ¿Quién soy?... Todos me llaman {f:5:Beatrice}... Y ciertamente parece ser el nombre de una gran bruja, como usted dice."
{f:5:Beatrice},—... Pero esa no soy yo. No puedo usar magia... Simplemente tengo el alma de esa bruja sellada en mi cuerpo.
Ushiromiya Kinzo,"""... Sus recuerdos... habrían regresado... Ella era sin duda la reencarnación de Beatrice... Sus recuerdos estaban regresando poco a poco. Mis rituales mágicos la ayudaban a recuperar sus recuerdos a medida que pasaba el tiempo..."""
Ushiromiya Lion,"""A‐Abuelo..."""
Willard H. Wright,"""No hay necesidad de asombrarse. Si alineas la información de todos los juegos hasta ahora, esta es la respuesta a la que llegas... La {f:5:Beatrice} en el plano superior habló de esto con una metáfora, diciendo que Kinzo se negó a dejar escapar el alma de la bruja incluso después de muerta, y en su lugar la atrapó y la encerró en un cuerpo de carne. También mencionó que su poder y sus recuerdos habían sido sellados. Si complementas esa interpretación suya con esta teoría, todo cobra sentido."""
Ronoue Genji,"""... Willard‐sama. Gracias a ese poderoso ritual mágico, el amo obtuvo un hijo reencarnado de la difunta Beatrice-sama. Eso no puede ser negado."""
Willard H. Wright,"""No voy a contradecir la cigueña. Y no tengo intenciones de dudar de la profundidad del amor de Kinzo por esa mujer llamada Beatrice... No es asunto de nadie cómo una persona decide mostrar su afecto a su único recuerdo vivo de alguien difunto. Si se parecía cada vez más a Beatrice, y el amor de Kinzo suscitaba una emoción nueva y especial, lo veo como una reacción bastante humana."""
Ushiromiya Kinzo,"""... ¿Crees que... puedes entender mi amor?..."""
Willard H. Wright,"""No estoy calificado para entenderlo. Sin embargo, tampoco estoy calificado para negarlo."""
Ushiromiya Kinzo,"""... Oooh... Beatrice... Por favor... perdóname..."""
,"Kinzo sollozó silenciosamente por un rato, limpiando sus lágrimas..."
,"Por amor, él creyó que era la reencarnación de Beatrice, y la crió de esa manera."
,"Sin embargo, en algún rincón de su corazón... puede que haya sentido... remordimiento de conciencia, diciéndole que podría estar forzando sus emociones en alguien que no era realmente Beatrice."
,"Entonces, la Beatrice de Kuwadorian tuvo una invitada inesperada, Rosa."
,"Incapaz de creer que era la Beatrice que Kinzo deseaba, y sufriendo por su inhabilidad de entender quien era, expresó un deseo de escapar al mundo exterior."
,Después... cayó del acantilado... y murió.
Willard H. Wright,"""Genji se hizo cargo de su muerte, que no podía ser de conocimiento público, en silencio."""
Ronoue Genji,"""..."""
Willard H. Wright,"""Los funerales no son para los muertos... Existen para que aquellos que viven puedan poner fin a sus lazos con los muertos... Tú nunca pudiste hacer eso. Por eso se pudrió dentro de ti."""
Ushiromiya Kinzo,"""... Beatrice... ooooooooohhhh..."""
Ushiromiya Lion,"""A‐Abuelo..."""
