Speaker,Spanish (ES)
,... Todas las piezas del tablero de juego estaban reunidas.
,"Todos los humanos, muebles, brujas y brujas de un plano aún más alto... estaban reunidos en un mismo lugar."
,"Ese lugar se asemejaba a una solemne catedral, con un techo increíblemente alto."
,Mampostería blanca. Adornos dorados.
,"Aunque había ventanas, no había entradas o salidas.{n}Era un extraño, extraño lugar."
,"Pero por alguna razón, nadie se preguntó dónde estaba ese extraño lugar."
,... Porque no se les había dado el derecho de pensar que ese lugar era extraño.
{f:5:Lambdadelta},"""Las piezas, ¿están todas ellas aquí?"""
Chiester00,"""Sí, lo están."""
{f:5:Lambdadelta},"""Bien hecho... Qué espectáculo. Me pregunto cuántas personas hay aquí."""
{f:5:Bernkastel},"""... No importa cuántas veamos, todo aquel que no sea una de las 18 personas es una ilusión."""
{f:5:Beatrice},"""Hacer que los reconozcas es de lo que se trata mi juego. ¡*carcajada*carcajada*!"""
,Las tres brujas estaban sentadas en tronos especiales puestos en balcones muy altos.
,"En medio se sentaba la Game Master, {f:5:Lambdadelta}, y en cada flanco del balcón semicircular se encontraban sentadas {f:5:Bernkastel} y {f:5:Beatrice}, enfrentadas."
,"Bajo ellas, Erika se adelantó, levantó un poco su falda e hizo una reverencia respetuosa."
Furudo Erika,"""Gran Lady {f:5:Lambdadelta}, le agradecemos el concedernos nuestra petición para reunirnos en una asamblea... Y Gran Lady {f:5:Bernkastel}, mi ama. Por favor, espérelo con ansias. Aunque pueda ser solo por un breve período de tiempo, definitivamente haré que mi ama olvide el veneno que la atormenta."""
{f:5:Bernkastel},"""Sí, lo espero con ansias... No espero menos de mi doble, mi pieza."""
,Erika y {f:5:Bernkastel} intercambiaron sonrisas crueles que harían que cualquiera quisiera mirar hacia otro lado.
{f:5:Lambdadelta},"""¡¡Escuchen, brujas, humanos!! ¡¡Proclamo que con esta asamblea de brujas, comenzará la Corte de las Ilusiones!!"""
,La comandante del juego habló con palabras que contenían poder.
,"Aunque sus palabras fueron dichas en un lugar tan vasto, resonaron con la fuerza de una campana en un campanario..."
{f:5:Lambdadelta},"""¡Sus vidas y roles tal y como existieron en este juego terminaron! ¡El quinto juego está ahora terminado, y la sesión de respuestas de las 24:00 comenzará!... Bueno, quisiera comenzar rápidamente, ¿pero qué tal si hacemos que todos aquí se presenten primero? Después de todo, hay mucha gente."""
{f:5:Lambdadelta},"""¡Ejejejeje! ¡Yo soy {f:5:Lambdadelta}! ¡La Bruja de la Certeza y la nueva comandante de este juego!"""
{f:5:Bernkastel},"""... {f:5:Bernkastel}. Bruja de los Milagros... Mi meta es terminar con la Ilusión de la Bruja de {f:5:Beatrice}."""
{f:5:Beatrice},"""Yo soy la Bruja Interminable, {f:5:Beatrice}. Mis metas son hacer reconocer mi existencia y proteger a Natsuhi y Kinzo."""
Ushiromiya Battler,"""..."""
Chiester00,"""... Battler‐sama. Usted les sigue en rango."""
Ushiromiya Battler,"""... Soy Ushiromiya Battler. Estoy peleando contra Beato... no, contra las brujas... Eso es todo."""
Chiester00,"""Como imagino que sabe, usted entró a este juego hacia la mitad del mismo. En el momento en que la asamblea de brujas empieza, todavía no ha participado. ¿Entiende eso?..."""
Ushiromiya Battler,"""Lo entiendo... Quieres decir que no tengo el derecho de hablar por un rato, ¿verdad?"""
Chiester00,"""Gracias por entenderlo."""
,"Aunque Battler tenía un rango similar al de las brujas, estaba sentado en la primera banca compartida por todos los familiares, solo en una punta."
,"Sus ojos se encontraron con los de Beato, quien estaba en el balcón."
{f:5:Beatrice},"""Podrías haber dicho que eras mi archienemigo."""
Ushiromiya Battler,"""... Bueno, no eres necesariamente mi única enemiga."""
{f:5:Beatrice},"""Hmf... Tomemos el control del juego nuevamente. Nos pertenece."""
Ushiromiya Battler,"""... Sí."""
,"Casi digo que estoy peleando contra la Ilusión de la Bruja de Beato.{n}... Desde el principio, Beato ha sido mi única enemiga."
,"Pero... ahora mismo, Erika y esas brujas que empezaron a jugar con el relato de Beato... también son mis enemigas."
,¿Contra quién debería pelear y cómo?{n}Quizás sea algo bueno el hecho de que no pueda hablar por un rato.
,Me calmaré y observaré todo con la mente en frío...
Furudo Erika,"""Soy la detective y quien ha convocado esta asamblea de brujas, Furudo Erika. Expondré al culpable del quinto juego y le pondré un lindo punto final a este relato."""
,Erika saludó a las brujas por sobre ella y a los humanos detrás de ella una vez más.
{f:5:Lambdadelta},"""Yo también espero eso con ansias. Muy bien, piezas restantes, preséntense en el orden que quieran."""
Chiester45,"""¡Humanos! ¡Preséntense, todos ustedes!..."""
,"Cuando 45 los urgió a presentarse, Kinzo se incorporó."
Ushiromiya Kinzo,"""... Soy Ushiromiya Kinzo. Me escapé de mi estudio por la ventana y estoy escondiéndome en algún lugar de Rokkenjima."""
Ushiromiya Krauss,"""Ushiromiya Krauss. En estos momentos, me han capturado y estoy confinado en algún lugar."""
Ushiromiya Eva,"""Soy Ushiromiya Eva. Estoy viva."""
Ushiromiya Rudolf,"""Soy Rudolf... El resto de nosotros también es parte de la familia, así que no diré mi apellido."""
Ushiromiya Rosa,"""Soy Ushiro— Rosa. Me asesinaron en el primer crepúsculo."""
Ushiromiya Jessica,"""Jessica. También morí en el primer crepúsculo."""
Ushiromiya George,"""Soy George... También morí en el primer crepúsculo."""
Ushiromiya Maria,"""María. Morí, pero vean, estoy aquí, hablando. ¿Ven? Morir no es tan grave, ¿verdad? Kijijijijijijijijijijijijiji..."""
Ushiromiya Natsuhi,"""Soy Ushiromiya Natsuhi... Estoy viva."""
Furudo Erika,"""... Ejejejejejejeje."""
Ushiromiya Natsuhi,"""... Gah..."""
Ushiromiya Hideyoshi,"""Soy Hideyoshi. Me asesinaron hace poco."""
Ushiromiya Kyrie,"""Kyrie. Sigo viva."""
Nanjo Terumasa,"""Nanjo... También sigo con vida..."""
Ronoue Genji,"""Mi nombre es Genji... Morí en el primer crepúsculo."""
Shannon,"""Soy Shannon... Sigo viva."""
Kanon,"""Soy Kanon. También sigo vivo."""
Gohda Toshiro,"""S-Soy Gohda. Encantado de conocerlos a todos..."""
Kumasawa Chiyo,"""Soy Kumasawa... Encantada de conocerlos..."""
Chiester410,"""¡Ahora empecemos con las brujas! ¡Todas ustedes, preséntense!"""
,El grupo de {f:5:Virgilia} también estaba a la vista.
,"A diferencia del piso en el cual estaba Beato, el segundo piso tenía un balcón que parecía un palco alto. Ellos se encontraban sentados allí, observando como si estuvieran en un teatro..."
{f:5:Virgilia},"""... Mi nombre es {f:5:Virgilia}. Soy la maestra de {f:5:Beatrice}."""
Gaap,"""Soy Gaap. Mi trabajo es hacer desaparecer los cadáveres."""
Ronove,"""Ronove. Estoy a cargo de hacer té negro. Pu ku ku..."""
