Speaker,Arabic (AR)
Ushiromiya Eva,""".........ﻫﻞ ﺍﻟﻄﺮﻳﻖ ﻣﻦ ﻫﻨﺎ؟ ......ﺃﻋﺘﻘﺪ ﺃﻧﻪ ﻣﻦ ﻫﻨﺎ............؟ ﻫﺬﺍ ﺍﻟﻄﺮﻳﻖ ﺍﻟﺬﻱ ﺗُﺮﺷﺪ ﺇﻟﻴﻪ ﺍﻷﺣﺠﻴﺔ........."""
,......!!!
,ﻓﺰّ ﻗﻠﺒﻲ ﻭﺍﺯﺩﺍﺩﺕ ﺧﻔﻘﺎﺗﻪ. ...ﺇﺛﺮ ﺭﺅﻳﺘﻲ ﻟﺸﻲﺀٍ.........ﻳﺸﺒﻪ ﻓﻤًﺎ ﻣﻔﺘﻮﺣًﺎ ﺑﺎﺗﺴﺎﻉ...............ﻭﺳﻂ ﺍﻟﻈﻼﻡ ﺍﻟﻤﺨﻴﻒ.
Ushiromiya Eva,"""...ﻣﺎ.........ﻣﺎ ﻫﺬﺍ ...؟ ﻣﺎ ﻫﺬﺍ...؟!"""
,"ﻋﻨﺪﻣﺎ ﺣﺪﻗﺖُ ﻣﻠﻴًّﺎ ﻓﻲ ﺍﻟﻈﻼﻡ، ﺭﺃﻳﺖ ﺷﻴﺌًﺎ ﻳﺸﺒﻪ ﺯﺭ ﺍﻹﻧﺎﺭﺓ. ......ﻭﻳﻮﺟﺪ ﺯﺭٌّ ﺁﺧﺮ ﻛُﺘﺐ ﻋﻠﻴﻪ ""ﻓﺘﺢ"" ﻭ ""ﺇﻏﻼﻕ""."
,ﺿﻐﻄﺖُ ﺍﻟﺰﺭّ ﺑﺤﺰﻡ، ﻭﺃﻧﺎﺭ ﻧﻮﺭًﺍ ﻣﺰﻋﺠًﺎ ﻛﺎﻟﺬﻱ ﺗﺠﺪﻩ ﻓﻲ ﻣﻨﺠﻢ ﻓﺤﻢ ﺃﻭ ﻛﺸﻲﺀٌ ﻳﻮﻣﺾ ﺑﺸﻜﻞٍ ﻣﺘﻘﻄﻊ، ﻟﺘﻜﺸﻒ ﺗﺪﺭﻳﺠﻴًﺎ ﻋﻦ ﺩﺭﺝ ﺣﺠﺮﻱ ﻳﻨﺤﺪﺭ ﻧﺤﻮ ﺍﻷﺳﻔﻞ...
,ﺍﺯﺩﺍﺩﺕ ﺭﻫﺒﺔ ﺍﻟﻤﻜﺎﻥ ﻋﻨﺪﻣﺎ ﺃُﻧﻴﺮ، ﻭﺃﻣﺴﻰ ﻣﻮﺣﺸًﺎ ﺃﻛﺜﺮ.
,ﺑﺎﻟﻘﺮﺏ ﻣﻦ ﺯﺭّ ﺍﻹﻧﺎﺭﺓ ﻛﺎﻥ ﻫﻨﺎﻙ ﺯﺭّ ﺁﺧﺮ. ﻣﻦ ﺍﻟﻤﺤﺘﻤﻞ ﺃﻧﻪ ﻟﻔﺘﺢ ﺃﻭ ﻏﻠﻖ ﺍﻟﻤﺨﺮﺝ،
,"...ﻟﻜﻦ ﻟﻮ ﻛﺎﻥ ﺍﻟﻤﻔﺘﺎﺡ ﻣﻌﻄﻼً ﻭﻻ ﻳﻌﻤﻞ ﺇﻻ ﻓﻲ ﺍﺗﺠﺎﻩ ""ﺇﻏﻼﻕ""، ﻓﻘﺪ ﺃُﺣﺘﺠﺰ ﺇﻟﻰ ﺍﻷﺑﺪ ﺩﺍﺧﻞ ﻫﺬﺍ ﺍﻟﻘﺒﻮ ﺍﻟﻤﺨﻴﻒ..."
, ﻟﺬﺍ ﺣﺎﻟﻴًﺎ، ﻟﻢ ﺃﻟﻤﺲ ﺫﻟﻚ ﺍﻟﺰﺭّ. ......ﺟﻬﺰﺕُ ﺳﻼﺣﻲ ﻣﺮﺓ ﺃﺧﺮﻯ، ﻭﻧﺰﻟﺖ ﺑﺒﻂﺀ ﺃﺳﻔﻞ ﺍﻟﺪﺭﺝ.
,ﻛﺎﻥ ﺍﻟﺴﻘﻒ ﻣﺮﺗﻔﻌًﺎ ﺟﺪًﺍ، ﻟﺬﺍ ﻟﻢ ﺃﺷﻌﺮ ﺑﺎﻟﻀﻴﻖ.{n}ﻋﻠﻰ ﺍﻟﻌﻜﺲ ﻣﻦ ﺫﻟﻚ، ﺃﺣﺴﺴﺖُ ﺑﻨﺴﻴﻢٍ ﺑﺎﺭﺩٍ ﻳﻬﺐّ ﺻﻌﻮﺩًﺍ، ﻛﻤّﺎ ﺃﻥ ﺷﻌﻮﺭﻱ ﺑﺎﻟﺨﻮﻑ ﻛﺎﻥ ﻳﺤﺎﺻﺮﻧﻲ ﺗﻤﺎﻣًﺎ...
