Speaker,Arabic (AR)
, ﺍﺑﻴﺾَّ ﺍﻟﻌﺎﻟﻢُ ﻛﻠُّﻪُ......
, ﻟﻢ ﻳﻜﻦ ﺑﻴﺎﺿًﺎ، ﺑﻞ ﻛﺎﻥ ﻟﻮﻥَ ﺍﻟﺬﻫﺐِ ﺍﻟﺴﺎﻃﻊِ ﻳﻐﺸﻲ ﺍﻷﺑﺼﺎﺭَ.
, ﺫﺍﻙَ ﺍﻟﻤﻮﺿﻊُ...... ﻫﻮ ﺑُﺴﺘﺎﻥُ ﺍﻟﻮﺭﻭﺩِ ﺍﻟﺠﻤﻴﻞُ ﻵﻝِ ﺃﻭﺷِﻴﺮﻭﻣﻴﺎ.
, ﻏﻴﺮَ ﺃﻥّ ﺍﻟﻮﺭﻭﺩَ ﻛﻠَّﻬﺎ ﻛﺎﻧﺖ ﺫﻫﺒًﺎ.
, ﻭﺍﻟﺮَّﺣﻴﻖَ ﺫﻫﺒًﺎ ﻛﺬﻟﻚ، ﻭﺍﻟﻔﺮﺍﺷﺎﺕِ ﺍﻟﺘﻲ ﺗﺮﻓﺮﻑُ ﻫﻨﺎﻙَ ﺫﻫﺒﻴّﺔً ﺃﻳﻀًﺎ.
, ............ﻫﺬﻩ ﻫﻲ... ﺍﻷﺭﺽُ ﺍﻟﺬﻫﺒﻴّﺔ............
, ﺃﺭﺽُ ﺍﻟﻤﻴﻌﺎﺩِ ﺍﻟﺘﻲ ﺗﻬﺘﺪﻱ ﺇﻟﻴﻬﺎ ﺳﺎﺣﺮﺍﺕ ﻣﺎﺭﻳّﺎﺝ ﺳﻮﺭﺳﻴﻴﺮ.
, ﻫﻨﺎﻟﻚَ ﺗﺘﺤﻘﻖُ ﻛﻞُّ ﺍﻷﻣﺎﻧﻲ، ﻭﺗُﺴﺘﺠﻠﺐُ ﺍﻟﺴﺤﺮُ ﻭﺍﻷﺣﻼﻡُ.
, ............ﻭﻓﻲ ﺫﻟﻚَ ﺍﻟﺒُﺴﺘﺎﻥِ ﺍﻟﻤﻮﺷّﻰ ﺑﻮﺭﻭﺩٍ ﻣﻦ ﺫﻫﺐٍ... ............ﻛﺎﻧَﺖ ﺛﻤَّﺔَ ﺍﺛﻨﺘﺎﻥِ ﻣﻦ ﺍﻟﺴﺎﺣﺮﺍﺕ ﻻ ﺛﺎﻟﺚَ ﻟﻬﻤﺎ.
, ﻋﻨﺪَ ﻃﻠﻮﻋﻲ ﺩﻭﻥَ ﺇﺫﻥٍ، ﺍﺭﺗﺠﻒَ ﺍﻟﺠﻮُّ ﻭﺍﺿﻄﺮﺏ،
, ﻭﺭﺟﻔﺖِ ﺍﻟﺮّﻳﺎﺡُ ﺍﻟﻤﺸﺆﻭﻣﺔُ ﻋﻠﻰ ﺍﻟﻮﺭﻭﺩِ ﺍﻟﺬﻫﺒﻴّﺔ.
, ﻓﺎﻧﺒﻌﺚَ ﻣﻨﻈﺮٌ ﺑﺎﻫﺮُ ﺍﻟﺠﻤﺎﻝِ ﻣﻦ ﻧﺜﺮِ ﺃﻭﺭﺍﻗِﻬﺎ ﻓﻲ ﺍﻟﻬﻮﺍﺀ، ﺷﻲﺀٌ ﻻ ﺭﻳﺐَ ﺃﻧّﻪُ ﻣﻦ ﻋﺎﻟَﻢٍ ﻏﻴﺮِ ﻫﺬﺍ ﺍﻟﻌﺎﻟَﻢ......
, ﻭﺍﻟﺴﺎﺣﺮﺗﺎﻥِ ﺍﻟﻠﺘﺎﻥِ ﻛﺎﻧﺘﺎ ﺗﺘﻨﺰَّﻫﺎﻥِ ﺑﻴﻦَ ﺍﻟﻮﺭﻭﺩِ ﺗﻨﺒَّﻬﺘﺎ ﺇﻟﻲَّ، ﻭﺑﺪﺕ ﺍﻟﺪﻫﺸﺔُ ﻋﻠﻴﻬﻤﺎ.
Ushiromiya Maria,"""......ﺇﻧﺠﻲ......؟ .........ﺑﻴـﺎﺗﻮ، ﺇﻧّﻬﺎ ﺇﻧﺠﻲ......!!"""
{f:5:Beatrice},"""...............ﻛﻴﻒَ ﺑﻠﻐﺖِ ﻫﺎﻫﻨﺎ...؟ .........ﺩﻋﻴﻨﺎ ﻭﺷﺄﻧَﻨﺎ. ﻣﺎ ﻋﺪﺕُ ﺃُﺭﺣِّﺐُ ﺑﺄﺣﺪٍ ﻓﻲ ﻫﺬﺍ ﺍﻟﻤﻜﺎﻥ."""
, ﻗﺎﻟﺖ ﺑﻴـﺎﺗﻮ ﺑﺒﺮﻭﺩٍ، ﻭﻗﺪ ﻏﺪﺕْ ﺷﺨﺼًﺎ ﺁﺧﺮَ ﻻ ﻳُﺸﺒﻪُ ﺗﻠﻚَ ﺍﻟﻤﺮﺃﺓَ ﺍﻟﺠﺮﻳﺌﺔَ ﺍﻟﺘﻲ ﻛﺎﻧﺖْ ﺗﺴﺨﺮُ ﻣﻦ ﻗﺒﻞُ.
, ﺃﻏﻠﻘﺖْ ﻗﻠﺒَﻬﺎ، ﻭﺃﻭﺕْ ﺇﻟﻰ ﻋﺎﻟﻢٍ ﻻ ﺃﺣﺪَ ﻓﻴﻪِ ﻏﻴﺮُﻫﺎ ﻫﻲ ﻭﺃﺧﺘﻲ ﺍﻟﻜﺒﺮﻯ ﻣﺎﺭﻳﺎ.
, ﻋﺎﻟﻢٍ ﺗﻜﻮﻥُ ﻓﻴﻪِ ﺩﻭﻣًﺎ ﺇﻟﻰ ﺟﺎﻧﺐِ ﻣﺎﺭﻳﺎ ﺍﻟﻮﺩﻭﺩﺓ، ﺗﺘﺤﺎﺩﺛﺎﻥِ ﻋﻦ ﺍﻟﺴِّﺤﺮِ ﻭﻫﻤﺎ ﺗﺤﺘﺴﻴﺎﻥِ ﺍﻟﺸّﺎﻱ.
, ......ﻻ ﻋﺠﻠﺔَ ﺗُﻘﺾّ ﻣﻀﺠﻌَﻬﻤﺎ، ﻭﻻ ﻗﻴﺪًﺍ ﻳُﻤﺴﻚُ ﺑﻬﻤﺎ.
, ﻋﺎﻟﻢٌ ﻻ ﻳﻮﺟﺪُ ﻓﻴﻪِ ﻣَﻦ ﻳُﺆﺫﻳﻬﻤﺎ.
, ﻧﻌﻢ، ﻟﺬﺍ ﻛﺎﻥَ ﺫﻟﻚَ ﺍﻟﻌﺎﻟﻢُ ﻋﻨﺪﻫﻤﺎ ﻛﻮﻧًﺎ ﺻﻐﻴﺮًﺍ ﻛﺎﻣﻼً......
Ushiromiya Ange,""".........ﻋﺬﺭًﺍ، ......ﻻ ﻳﺴﻌُﻨﻲ ﺃﻥ ﺃﺩﻋَﻚِ ﺗﻨﺰﻭﻱ ﻫﻨﺎ. .........ﻟﻦ ﻳﺘﺤﺮّﻙَ ﺍﻟﻠّﻌﺐُ ﻣﺎ ﻟﻢ ﺗﻌﻮﺩﻱ."""
{f:5:Beatrice},"""ﻗﻠﺖُ ﺇﻧّﻲ ﺳﺌﻤﺘُﻪُ ﻭﻓﺮﻏﺖُ ﻣﻨﻪ. ﻟﻦ ﺃﺭﺟﻊَ ﺇﻟﻰ ﺍﻟﻠّﻌﺒﺔِ ﺑﻌﺪُ."""
Ushiromiya Maria,"""...............ﺑﻴـﺎﺗﻮ ﺳﺘﺒﻘﻰ ﻫﻨﺎ ﻣﻌﻲ ﺇﻟﻰ ﺍﻷﺑﺪ. ﺳﻨﺸﺮﺏُ ﺍﻟﺸّﺎﻱ ﻣﻌًﺎ، ﻭﻧﺨﺘﺮﻉُ ﻃﺮﺍﺋﻖَ ﻛﺜﻴﺮﺓً ﻟﻠّﻬﻮ...! ﺑﻮﺳﻌﻚِ ﺃﻥ ﺗﻠﻌﺒﻲ ﻣﻌﻨﺎ ﻳﺎ ﺇﻧﺠﻲ."""
{f:5:Beatrice},"""......{f:7:ﻣﺎﺭﻳﺎ}. ﻟﻘﺪ ﻋﺎﻫﺪﺗُﻚِ ﻏﻴﺮَ ﺫﻟﻚ. ﻣﺎ ﺩﻣﺖُ ﺃﻣﻠﻜُﻚِ ﻓﺤﺴﺐ، ﻓﺬﺍﻙَ ﻳُﺮﺿﻴﻨﻲ. ﻗﻮﻟﻲ ﻟﻲ ﺇﻧّﻚِ ﻛﺬﻟﻚَ ﺭﺍﺿﻴﺔٌ ﻣﺎ ﺩﻣﺖِ ﺗﻤﻠﻜﻴﻨﻨﻲ."""
Ushiromiya Maria,"""..................... ......ﻧﻌﻢ. ......ﺷﻜﺮًﺍ ﻟﻚِ. ﻓﺄﻧﺖِ ﺍﻟﻮﺣﻴﺪﺓُ ﺍﻟﺘﻲ ﺗﺤﺘﺎﺟﻴﻦ ﺇﻟﻲَّ ﻫﺬﺍ ﺍﻟﻘﺪﺭ، ﻳﺎ ﺑﻴـﺎﺗﻮ. ﺳﺄﻛﻮﻥُ ﻣﻌﻚِ. ﻧﺤﻦُ ﻓﻘﻂْ ﻳﻜﻔﻴﻨﺎ."""
{f:5:Beatrice},""".........{f:7:ﻣﺎﺭﻳﺎ}...... ......ﺷﻜﺮًﺍ...... ............ﺇﻧّﻲ ﻣﻤﺘﻨّﺔ........."""
, ﺍﺣﺘﻀﻨﺖْ ﺑﻴـﺎﺗﻮ ﻣﺎﺭﻳﺎ ﺑﺸﺪّﺓ، ﻭﺻﻨﻌﺘﺎ ﺑﻴﻦَ ﺫﺭﺍﻋَﻴﻬﻤﺎ ﻛﻮﻧًﺎ ﺻﻐﻴﺮًﺍ ﺩﺍﻓﺌًﺎ...
